n,Egb,dx,dy,rx,ry,T,steps,f
0.45,0.936,0.97,1.76,1,11,900,1000,lammps_0.936_0.45_0.97_1.76_1_11_900_1000
0.46,0.936,1.82,1.12,1,13,600,104000,lammps_0.936_0.46_1.82_1.12_1_13_600_104000
0.47,0.936,0.92,2.42,1,15,500,19000,lammps_0.936_0.47_0.92_2.42_1_15_500_19000
0.44,0.938,0.57,1.11,1,9,400,152000,lammps_0.938_0.44_0.57_1.11_1_9_400_152000
0.43,0.941,0.64,0.02,1,7,300,86000,lammps_0.941_0.43_0.64_0.02_1_7_300_86000
0.48,0.942,5.95,1.43,2,15,500,38000,lammps_0.942_0.48_5.95_1.43_2_15_500_38000
0.5,0.942,0.22,0.06,1,2,1000,3000,lammps_0.942_0.50_0.22_0.06_1_2_1000_3000
0.5,0.943,0.4,0.48,1,2,500,9000,lammps_0.943_0.50_0.40_0.48_1_2_500_9000
0.48,0.943,4.25,2.28,2,13,600,290000,lammps_0.943_0.48_4.25_2.28_2_13_600_290000
0.48,0.944,3.68,1.77,2,11,700,14000,lammps_0.944_0.48_3.68_1.77_2_11_700_14000
0.43,0.945,1.18,2.06,2,11,500,87000,lammps_0.945_0.43_1.18_2.06_2_11_500_87000
0.42,0.947,1.81,2.19,1,12,400,25000,lammps_0.947_0.42_1.81_2.19_1_12_400_25000
0.45,0.947,2.23,0.99,2,14,500,97000,lammps_0.947_0.45_2.23_0.99_2_14_500_97000
0.47,0.947,1.96,1.29,2,9,500,60000,lammps_0.947_0.47_1.96_1.29_2_9_500_60000
0.45,0.948,0.83,0.94,2,14,700,219000,lammps_0.948_0.45_0.83_0.94_2_14_700_219000
0.47,0.949,3.36,2.92,2,9,800,42000,lammps_0.949_0.47_3.36_2.92_2_9_800_42000
0.45,0.949,2.02,2.98,3,7,600,218000,lammps_0.949_0.45_2.02_2.98_3_7_600_218000
0.5,0.949,0.73,1.08,1,15,1000,2000,lammps_0.949_0.50_0.73_1.08_1_15_1000_2000
0.42,0.949,1.34,0.49,2,9,700,18000,lammps_0.949_0.42_1.34_0.49_2_9_700_18000
0.43,0.949,2.53,0.78,2,15,500,239000,lammps_0.949_0.43_2.53_0.78_2_15_500_239000
0.42,0.95,1.19,1.13,2,13,600,116000,lammps_0.950_0.42_1.19_1.13_2_13_600_116000
0.43,0.95,1.23,2.51,1,15,500,109000,lammps_0.950_0.43_1.23_2.51_1_15_500_109000
0.47,0.95,4.97,3.59,2,15,500,150000,lammps_0.950_0.47_4.97_3.59_2_15_500_150000
0.5,0.95,0.12,0.33,2,13,600,77000,lammps_0.950_0.50_0.12_0.33_2_13_600_77000
0.0,0.951,0.62,0.01,1,1,900,24000,lammps_0.951_0.00_0.62_0.01_1_1_900_24000
0.42,0.951,1.44,3.21,2,13,500,151000,lammps_0.951_0.42_1.44_3.21_2_13_500_151000
0.46,0.951,3.97,1.56,2,13,500,176000,lammps_0.951_0.46_3.97_1.56_2_13_500_176000
0.5,0.951,1.21,0.06,1,13,300,168000,lammps_0.951_0.50_1.21_0.06_1_13_300_168000
0.47,0.952,0.19,3.46,2,10,400,2000,lammps_0.952_0.47_0.19_3.46_2_10_400_2000
0.46,0.952,1.41,3.42,2,13,600,9000,lammps_0.952_0.46_1.41_3.42_2_13_600_9000
0.42,0.952,0.62,2.04,1,13,600,14000,lammps_0.952_0.42_0.62_2.04_1_13_600_14000
0.44,0.952,1.1,1.46,2,12,700,53000,lammps_0.952_0.44_1.10_1.46_2_12_700_53000
0.86,0.953,1.18,2.59,2,7,500,12000,lammps_0.953_0.86_1.18_2.59_2_7_500_12000
0.41,0.953,6.59,1.66,2,11,700,185000,lammps_0.953_0.41_6.59_1.66_2_11_700_185000
0.42,0.953,6.38,2.66,2,13,500,84000,lammps_0.953_0.42_6.38_2.66_2_13_500_84000
0.46,0.953,3.48,1.42,1,14,500,82000,lammps_0.953_0.46_3.48_1.42_1_14_500_82000
0.47,0.953,1.47,2.7,3,6,300,39000,lammps_0.953_0.47_1.47_2.70_3_6_300_39000
0.5,0.953,0.59,1.83,1,11,700,16000,lammps_0.953_0.50_0.59_1.83_1_11_700_16000
0.45,0.954,4.88,0.87,2,11,300,141000,lammps_0.954_0.45_4.88_0.87_2_11_300_141000
0.47,0.954,5.14,1.69,2,8,400,55000,lammps_0.954_0.47_5.14_1.69_2_8_400_55000
0.39,0.954,0.68,0.84,4,7,600,239000,lammps_0.954_0.39_0.68_0.84_4_7_600_239000
0.43,0.954,2.84,3.53,2,14,400,184000,lammps_0.954_0.43_2.84_3.53_2_14_400_184000
0.02,0.955,7.37,0.33,4,7,500,57000,lammps_0.955_0.02_7.37_0.33_4_7_500_57000
0.39,0.955,3.92,2.18,2,7,600,82000,lammps_0.955_0.39_3.92_2.18_2_7_600_82000
0.4,0.955,0.71,0.35,1,5,400,15000,lammps_0.955_0.40_0.71_0.35_1_5_400_15000
0.41,0.955,0.42,0.32,1,11,600,78000,lammps_0.955_0.41_0.42_0.32_1_11_600_78000
0.45,0.955,3.16,1.72,2,11,800,16000,lammps_0.955_0.45_3.16_1.72_2_11_800_16000
0.47,0.955,1.17,1.11,2,8,300,272000,lammps_0.955_0.47_1.17_1.11_2_8_300_272000
0.48,0.955,2.74,3.31,2,15,500,71000,lammps_0.955_0.48_2.74_3.31_2_15_500_71000
0.98,0.956,7.76,0.66,4,7,300,47000,lammps_0.956_0.98_7.76_0.66_4_7_300_47000
0.53,0.956,0.65,3.33,2,8,600,16000,lammps_0.956_0.53_0.65_3.33_2_8_600_16000
0.5,0.956,0.88,1.79,2,9,400,93000,lammps_0.956_0.50_0.88_1.79_2_9_400_93000
0.46,0.956,3.94,1.51,1,12,600,5000,lammps_0.956_0.46_3.94_1.51_1_12_600_5000
0.45,0.956,1.37,0.13,2,11,600,65000,lammps_0.956_0.45_1.37_0.13_2_11_600_65000
0.4,0.956,2.77,1.84,1,10,400,9000,lammps_0.956_0.40_2.77_1.84_1_10_400_9000
0.42,0.956,6.29,0.66,2,15,600,192000,lammps_0.956_0.42_6.29_0.66_2_15_600_192000
0.39,0.956,1.43,2.1,1,14,1300,0,lammps_0.956_0.39_1.43_2.10_1_14_1300_0
0.02,0.956,1.88,1.17,4,6,300,253000,lammps_0.956_0.02_1.88_1.17_4_6_300_253000
0.43,0.956,0.83,0.96,1,15,300,12000,lammps_0.956_0.43_0.83_0.96_1_15_300_12000
0.52,0.957,1.16,0.4,2,13,400,272000,lammps_0.957_0.52_1.16_0.40_2_13_400_272000
0.5,0.957,5.94,0.93,1,14,500,14000,lammps_0.957_0.50_5.94_0.93_1_14_500_14000
0.48,0.957,0.98,0.33,3,7,400,82000,lammps_0.957_0.48_0.98_0.33_3_7_400_82000
0.46,0.957,3.94,3.47,1,12,300,47000,lammps_0.957_0.46_3.94_3.47_1_12_300_47000
0.4,0.957,0.9,1.3,2,12,600,259000,lammps_0.957_0.40_0.90_1.30_2_12_600_259000
0.03,0.957,0.42,3.5,4,5,500,11000,lammps_0.957_0.03_0.42_3.50_4_5_500_11000
0.02,0.957,4.55,1.34,3,7,300,11000,lammps_0.957_0.02_4.55_1.34_3_7_300_11000
0.44,0.957,3.1,2.75,2,13,500,136000,lammps_0.957_0.44_3.10_2.75_2_13_500_136000
0.98,0.958,2.16,0.22,3,7,500,92000,lammps_0.958_0.98_2.16_0.22_3_7_500_92000
0.97,0.958,3.52,1.13,4,5,300,50000,lammps_0.958_0.97_3.52_1.13_4_5_300_50000
0.86,0.958,0.78,3.24,3,7,700,110000,lammps_0.958_0.86_0.78_3.24_3_7_700_110000
0.8,0.958,1.4,3.38,4,5,500,93000,lammps_0.958_0.80_1.40_3.38_4_5_500_93000
0.5,0.958,0.18,2.49,1,9,800,116000,lammps_0.958_0.50_0.18_2.49_1_9_800_116000
0.53,0.958,5.64,1.69,1,15,500,116000,lammps_0.958_0.53_5.64_1.69_1_15_500_116000
0.46,0.958,1.18,1.23,2,6,400,22000,lammps_0.958_0.46_1.18_1.23_2_6_400_22000
0.4,0.958,6.86,3.49,1,15,600,206000,lammps_0.958_0.40_6.86_3.49_1_15_600_206000
0.39,0.958,3.58,1.31,1,14,300,120000,lammps_0.958_0.39_3.58_1.31_1_14_300_120000
0.03,0.958,3.01,1.28,3,6,300,106000,lammps_0.958_0.03_3.01_1.28_3_6_300_106000
0.48,0.958,8.01,3.28,2,13,500,21000,lammps_0.958_0.48_8.01_3.28_2_13_500_21000
0.8,0.959,1.26,1.97,3,5,600,25000,lammps_0.959_0.80_1.26_1.97_3_5_600_25000
0.98,0.959,1.51,2.88,4,7,700,5000,lammps_0.959_0.98_1.51_2.88_4_7_700_5000
0.97,0.959,3.72,1.65,3,6,700,31000,lammps_0.959_0.97_3.72_1.65_3_6_700_31000
0.86,0.959,5.72,2.06,3,7,1000,175000,lammps_0.959_0.86_5.72_2.06_3_7_1000_175000
0.82,0.959,2.58,1.59,2,7,400,84000,lammps_0.959_0.82_2.58_1.59_2_7_400_84000
0.46,0.959,4.03,2.04,2,6,300,95000,lammps_0.959_0.46_4.03_2.04_2_6_300_95000
0.52,0.959,5.09,1.67,2,13,600,66000,lammps_0.959_0.52_5.09_1.67_2_13_600_66000
0.44,0.959,1.92,2.11,4,2,900,133000,lammps_0.959_0.44_1.92_2.11_4_2_900_133000
