n,Egb,dx,dy,rx,ry,T,steps,f
0.571,2.731,0.71,0.8,2,7,1600,88000,lammps_2.731_0.571_0.71_0.80_2_7_1600_88000
0.5,2.732,0.83,2.47,1,2,3300,24000,lammps_2.732_0.500_0.83_2.47_1_2_3300_24000
0.571,2.732,6.41,1.31,2,7,2200,66000,lammps_2.732_0.571_6.41_1.31_2_7_2200_66000
0.571,2.734,1.65,4.01,4,7,2300,174000,lammps_2.734_0.571_1.65_4.01_4_7_2300_174000
0.6,2.734,5.7,3.35,2,5,1400,113000,lammps_2.734_0.600_5.70_3.35_2_5_1400_113000
0.6,2.735,4.87,4.16,2,5,2700,0,lammps_2.735_0.600_4.87_4.16_2_5_2700_0
0.5,2.736,1.94,3.91,1,6,1900,166000,lammps_2.736_0.500_1.94_3.91_1_6_1900_166000
0.6,2.736,0.19,3.66,2,5,3100,78000,lammps_2.736_0.600_0.19_3.66_2_5_3100_78000
0.556,2.737,7.84,4.25,2,9,2200,52000,lammps_2.737_0.556_7.84_4.25_2_9_2200_52000
0.6,2.738,2.71,1.27,3,5,3100,57000,lammps_2.738_0.600_2.71_1.27_3_5_3100_57000
0.5,2.738,2.2,3.38,2,2,2700,16000,lammps_2.738_0.500_2.20_3.38_2_2_2700_16000
0.5,2.739,0.74,0.4,2,2,1700,6000,lammps_2.739_0.500_0.74_0.40_2_2_1700_6000
0.524,2.739,2.1,3.62,3,7,1500,118000,lammps_2.739_0.524_2.10_3.62_3_7_1500_118000
0.5,2.741,2.61,3.56,3,2,1300,32000,lammps_2.741_0.500_2.61_3.56_3_2_1300_32000
0.524,2.741,5.53,0.53,3,7,2500,38000,lammps_2.741_0.524_5.53_0.53_3_7_2500_38000
0.5,2.744,5.76,0.63,2,4,1700,6000,lammps_2.744_0.500_5.76_0.63_2_4_1700_6000
0.55,2.744,2.98,4.13,4,5,1600,39000,lammps_2.744_0.550_2.98_4.13_4_5_1600_39000
0.5,2.745,1.98,0.54,2,2,2000,13000,lammps_2.745_0.500_1.98_0.54_2_2_2000_13000
0.533,2.745,2.2,4.29,3,5,1800,141000,lammps_2.745_0.533_2.20_4.29_3_5_1800_141000
0.524,2.746,0.2,0.04,3,7,1700,8000,lammps_2.746_0.524_0.20_0.04_3_7_1700_8000
0.5,2.746,7.68,0.39,2,7,2700,33000,lammps_2.746_0.500_7.68_0.39_2_7_2700_33000
0.5,2.747,5.9,3.22,3,2,2000,123000,lammps_2.747_0.500_5.90_3.22_3_2_2000_123000
0.625,2.748,7.96,2.83,2,8,1800,67000,lammps_2.748_0.625_7.96_2.83_2_8_1800_67000
