n,Egb
0.5,2.446
0.5,2.462
0.33,2.467
0.33,2.469
0.33,2.47
0.4,2.472
0.5,2.472
0.35,2.473
0.5,2.473
0.3,2.474
0.2,2.475
0.6,2.475
0.18,2.478
0.14,2.479
0.5,2.479
0.57,2.479
0.17,2.48
0.3,2.48
0.4,2.48
0.56,2.481
0.38,2.482
0.5,2.482
0.56,2.482
0.11,2.483
0.6,2.483
0.57,2.484
0.62,2.484
0.25,2.485
0.56,2.485
0.56,2.486
0.44,2.486
0.14,2.486
0.2,2.486
0.4,2.486
0.57,2.487
0.6,2.488
0.5,2.488
0.56,2.488
0.57,2.489
0.6,2.489
0.5,2.489
0.29,2.49
0.33,2.49
0.4,2.49
0.44,2.49
0.57,2.49
0.6,2.49
0.56,2.491
0.6,2.491
0.57,2.491
0.5,2.491
0.44,2.491
0.25,2.491
0.25,2.492
0.3,2.492
0.5,2.492
0.56,2.492
0.5,2.493
0.6,2.493
0.33,2.494
0.6,2.494
0.57,2.494
0.3,2.494
0.5,2.494
0.53,2.494
0.5,2.495
0.5,2.496
0.56,2.496
0.6,2.496
0.57,2.497
0.0,2.497
0.2,2.497
0.33,2.497
0.44,2.497
0.47,2.497
0.5,2.497
0.52,2.497
0.55,2.497
0.6,2.497
0.6,2.498
0.62,2.498
0.56,2.498
0.52,2.498
0.5,2.498
0.36,2.498
0.27,2.499
0.5,2.499
0.6,2.499
0.62,2.499
0.67,2.499
0.6,2.5
0.57,2.5
0.5,2.5
0.4,2.5
0.36,2.5
0.65,2.5
0.3,2.5
0.28,2.5
0.25,2.5
0.18,2.5
0.33,2.5
0.67,2.501
0.57,2.501
0.56,2.501
0.6,2.501
0.39,2.501
0.33,2.501
0.25,2.501
0.5,2.501
0.33,2.502
0.4,2.502
0.44,2.502
0.5,2.502
0.53,2.502
0.58,2.502
0.67,2.502
0.56,2.503
0.6,2.503
0.5,2.503
0.62,2.503
0.39,2.503
0.19,2.503
0.4,2.503
0.35,2.503
0.56,2.504
0.67,2.504
0.6,2.504
0.59,2.504
0.43,2.504
0.5,2.504
0.32,2.504
0.26,2.504
